domain_name,secrets,environments
V_test,"['acckey', 'rsa4', 'mongo-pg-pwd']","{'bf205d2add5edd746dfa1199', '1006a07e6fae91295cfb1e5c', 'd4e9cec4ddc98768ad83a3f0'}"
test,"['tera', 'mongo-pg-pwd', 'acckey']",{'bf205d2add5edd746dfa1199'}
tn_test_bteq,"['acckey', 'mongosecret']",{'1006a07e6fae91295cfb1e5c'}
edw_jcl_8,"['acckey', None, 'mongo-pg-pwd', 'mongosecret']",{'1006a07e6fae91295cfb1e5c'}
sf_domain_prd,"['acckey', None, 'mongo-pg-pwd']",{'1006a07e6fae91295cfb1e5c'}
SF_DOMAIN,"['acckey', 'mongo-pg-pwd']",{'1006a07e6fae91295cfb1e5c'}
edw_jcl1,['acckey'],{'1006a07e6fae91295cfb1e5c'}
jcl_adhoc,['acckey'],{'1006a07e6fae91295cfb1e5c'}
att_edw_mf_jobs,['acckey'],{'1006a07e6fae91295cfb1e5c'}
EDW_bteq_test,['acckey'],{'1006a07e6fae91295cfb1e5c'}
edw_jcl7,['acckey'],{'1006a07e6fae91295cfb1e5c'}
edw_5317,['acckey'],{'1006a07e6fae91295cfb1e5c'}
edw_jcl4,['acckey'],{'1006a07e6fae91295cfb1e5c'}
dummy,['acckey'],{'1006a07e6fae91295cfb1e5c'}
sf_domain,['acckey'],{'1006a07e6fae91295cfb1e5c'}
FDW_Domain,['acckey'],{'1006a07e6fae91295cfb1e5c'}
test_domain_1,['acckey'],{'1006a07e6fae91295cfb1e5c'}
test_domain_3,['acckey'],{'1006a07e6fae91295cfb1e5c'}
xyz,['acckey'],{'1006a07e6fae91295cfb1e5c'}
AR_DOMAIN,['acckey'],{'1006a07e6fae91295cfb1e5c'}
Demo,['acckey'],{'1006a07e6fae91295cfb1e5c'}
rr_sf,['acckey'],{'1006a07e6fae91295cfb1e5c'}
edw_jcl2,['acckey'],{'1006a07e6fae91295cfb1e5c'}
dummy_2,"['acckey', 'suppport']",{'1006a07e6fae91295cfb1e5c'}
gd_domain,['acckey'],{'1006a07e6fae91295cfb1e5c'}
edw_bulk2,['acckey'],{'1006a07e6fae91295cfb1e5c'}
edw_jcl3,['acckey'],{'1006a07e6fae91295cfb1e5c'}
edw_jcl6,['acckey'],{'1006a07e6fae91295cfb1e5c'}
test_domain_2,['acckey'],{'1006a07e6fae91295cfb1e5c'}
2,['acckey'],{'1006a07e6fae91295cfb1e5c'}
